ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT22-00001	Allineuc	ALLINEUC		22001	ALLINEUC
DT22-00002	Andel	ANDEL		22002	ANDEL
DT22-00003	Aucaleuc	AUCALEUC		22003	AUCALEUC
DT22-00004	Bégard	BEGARD		22004	BEGARD
DT22-00005	Belle-Isle-en-Terre	BELLE-ISLE-EN-TERRE		22005	BELLE-ISLE-EN-TERRE
DT22-00006	Berhet	BERHET		22006	BERHET
DT22-00007	Binic	BINIC		22007	BINIC
DT22-00008	Bobital	BOBITAL		22008	BOBITAL
DT22-00011	Boqueho	BOQUEHO		22011	BOQUEHO
DT22-00013	Bourbriac	BOURBRIAC		22013	BOURBRIAC
DT22-00014	Bourseul	BOURSEUL		22014	BOURSEUL
DT22-00015	Bréhand	BREHAND		22015	BREHAND
DT22-00018	Brélidy	BRELIDY		22018	BRELIDY
DT22-00019	Bringolo	BRINGOLO		22019	BRINGOLO
DT22-00020	Broons	BROONS		22020	BROONS
DT22-00021	Brusvily	BRUSVILY		22021	BRUSVILY
DT22-00023	Bulat-Pestivien	BULAT-PESTIVIEN		22023	BULAT-PESTIVIEN
DT22-00024	Calanhel	CALANHEL		22024	CALANHEL
DT22-00025	Callac	CALLAC		22025	CALLAC
DT22-00026	Calorguen	CALORGUEN		22026	CALORGUEN
DT22-00028	Camlez	CAMLEZ		22028	CAMLEZ
DT22-00029	Canihuel	CANIHUEL		22029	CANIHUEL
DT22-00030	Caouënnec-Lanvézéac	CAOUENNEC-LANVEZEAC		22030	CAOUENNEC-LANVEZEAC
DT22-00031	Carnoët	CARNOET		22031	CARNOET
DT22-00032	Caulnes	CAULNES		22032	CAULNES
DT22-00033	Caurel	CAUREL		22033	CAUREL
DT22-00034	Cavan	CAVAN		22034	CAVAN
DT22-00038	Châtelaudren	CHATELAUDREN		22038	CHATELAUDREN
DT22-00040	Coadout	COADOUT		22040	COADOUT
DT22-00041	Coatascorn	COATASCORN		22041	COATASCORN
DT22-00042	Coatréven	COATREVEN		22042	COATREVEN
DT22-00043	Coëtlogon	COETLOGON		22043	COETLOGON
DT22-00044	Coëtmieux	COETMIEUX		22044	COETMIEUX
DT22-00045	Cohiniac	COHINIAC		22045	COHINIAC
DT22-00046	Collinée	COLLINEE		22046	COLLINEE
DT22-00047	Corlay	CORLAY		22047	CORLAY
DT22-00048	Corseul	CORSEUL		22048	CORSEUL
DT22-00049	Créhen	CREHEN		22049	CREHEN
DT22-00050	Dinan	DINAN		22050	DINAN
DT22-00051	Dolo	DOLO		22051	DOLO
DT22-00052	Duault	DUAULT		22052	DUAULT
DT22-00053	Eréac	EREAC		22053	EREAC
DT22-00054	Erquy	ERQUY		22054	ERQUY
DT22-00055	Étables-sur-Mer	ETABLES-SUR-MER		22055	ETABLES-SUR-MER
DT22-00056	Évran	EVRAN		22056	EVRAN
DT22-00060	Gausson	GAUSSON		22060	GAUSSON
DT22-00061	Glomel	GLOMEL		22061	GLOMEL
DT22-00062	Gomené	GOMENE		22062	GOMENE
DT22-00063	Gommenec’h	GOMMENEC’H		22063	GOMMENEC’H
DT22-00064	Gouarec	GOUAREC		22064	GOUAREC
DT22-00065	Goudelin	GOUDELIN		22065	GOUDELIN
DT22-00067	Grâces	GRACES		22067	GRACES
DT22-00068	Grâce-Uzel	GRACE-UZEL		22068	GRACE-UZEL
DT22-00069	Guenroc	GUENROC		22069	GUENROC
DT22-00070	Guingamp	GUINGAMP		22070	GUINGAMP
DT22-00071	Guitté	GUITTE		22071	GUITTE
DT22-00072	Gurunhuel	GURUNHUEL		22072	GURUNHUEL
DT22-00075	Hémonstoir	HEMONSTOIR		22075	HEMONSTOIR
DT22-00076	Hénanbihen	HENANBIHEN		22076	HENANBIHEN
DT22-00077	Hénansal	HENANSAL		22077	HENANSAL
DT22-00078	Hengoat	HENGOAT		22078	HENGOAT
DT22-00079	Hénon	HENON		22079	HENON
DT22-00081	Hillion	HILLION		22081	HILLION
DT22-00083	Illifaut	ILLIFAUT		22083	ILLIFAUT
DT22-00084	Jugon-les-Lacs	JUGON-LES-LACS		22084	JUGON-LES-LACS
DT22-00085	Kerbors	KERBORS		22085	KERBORS
DT22-00086	Kerfot	KERFOT		22086	KERFOT
DT22-00087	Kergrist-Moelou	KERGRIST-MOELOU		22087	KERGRIST-MOELOU
DT22-00088	Kerien	KERIEN		22088	KERIEN
DT22-00090	Kermaria-Sulard	KERMARIA-SULARD		22090	KERMARIA-SULARD
DT22-00091	Kermoroc’h	KERMOROC’H		22091	KERMOROC’H
DT22-00092	Kerpert	KERPERT		22092	KERPERT
DT22-00093	Lamballe	LAMBALLE		22093	LAMBALLE
DT22-00094	Lancieux	LANCIEUX		22094	LANCIEUX
DT22-00095	Landebaëron	LANDEBAERON		22095	LANDEBAERON
DT22-00096	Landébia	LANDEBIA		22096	LANDEBIA
DT22-00098	Landéhen	LANDEHEN		22098	LANDEHEN
DT22-00099	Lanfains	LANFAINS		22099	LANFAINS
DT22-00100	Langast	LANGAST		22100	LANGAST
DT22-00101	Langoat	LANGOAT		22101	LANGOAT
DT22-00102	Langourla	LANGOURLA		22102	LANGOURLA
DT22-00103	Langrolay-sur-Rance	LANGROLAY-SUR-RANCE		22103	LANGROLAY-SUR-RANCE
DT22-00104	Languédias	LANGUEDIAS		22104	LANGUEDIAS
DT22-00105	Languenan	LANGUENAN		22105	LANGUENAN
DT22-00106	Langueux	LANGUEUX		22106	LANGUEUX
DT22-00107	Laniscat	LANISCAT		22107	LANISCAT
DT22-00108	Lanleff	LANLEFF		22108	LANLEFF
DT22-00109	Lanloup	LANLOUP		22109	LANLOUP
DT22-00110	Lanmérin	LANMERIN		22110	LANMERIN
DT22-00111	Lanmodez	LANMODEZ		22111	LANMODEZ
DT22-00112	Lannebert	LANNEBERT		22112	LANNEBERT
DT22-00113	Lannion	LANNION		22113	LANNION
DT22-00114	Lanrelas	LANRELAS		22114	LANRELAS
DT22-00115	Lanrivain	LANRIVAIN		22115	LANRIVAIN
DT22-00116	Lanrodec	LANRODEC		22116	LANRODEC
DT22-00117	Lantic	LANTIC		22117	LANTIC
DT22-00118	Lanvallay	LANVALLAY		22118	LANVALLAY
DT22-00119	Lanvellec	LANVELLEC		22119	LANVELLEC
DT22-00121	Lanvollon	LANVOLLON		22121	LANVOLLON
DT22-00122	Laurenan	LAURENAN		22122	LAURENAN
DT22-00123	Léhon	LEHON		22123	LEHON
DT22-00124	Lescouët-Gouarec	LESCOUET-GOUAREC		22124	LESCOUET-GOUAREC
DT22-00127	Lézardrieux	LEZARDRIEUX		22127	LEZARDRIEUX
DT22-00128	Locarn	LOCARN		22128	LOCARN
DT22-00129	Loc-Envel	LOC-ENVEL		22129	LOC-ENVEL
DT22-00131	Loguivy-Plougras	LOGUIVY-PLOUGRAS		22131	LOGUIVY-PLOUGRAS
DT22-00132	Lohuec	LOHUEC		22132	LOHUEC
DT22-00133	Loscouët-sur-Meu	LOSCOUET-SUR-MEU		22133	LOSCOUET-SUR-MEU
DT22-00134	Louannec	LOUANNEC		22134	LOUANNEC
DT22-00135	Louargat	LOUARGAT		22135	LOUARGAT
DT22-00136	Loudéac	LOUDEAC		22136	LOUDEAC
DT22-00137	Maël-Carhaix	MAEL-CARHAIX		22137	MAEL-CARHAIX
DT22-00138	Maël-Pestivien	MAEL-PESTIVIEN		22138	MAEL-PESTIVIEN
DT22-00139	Magoar	MAGOAR		22139	MAGOAR
DT22-00141	Mantallot	MANTALLOT		22141	MANTALLOT
DT22-00143	Matignon	MATIGNON		22143	MATIGNON
DT22-00145	Mégrit	MEGRIT		22145	MEGRIT
DT22-00146	Mellionnec	MELLIONNEC		22146	MELLIONNEC
DT22-00147	Merdrignac	MERDRIGNAC		22147	MERDRIGNAC
DT22-00148	Mérillac	MERILLAC		22148	MERILLAC
DT22-00149	Merléac	MERLEAC		22149	MERLEAC
DT22-00151	Meslin	MESLIN		22151	MESLIN
DT22-00152	Minihy-Tréguier	MINIHY-TREGUIER		22152	MINIHY-TREGUIER
DT22-00153	Moncontour	MONCONTOUR		22153	MONCONTOUR
DT22-00154	Morieux	MORIEUX		22154	MORIEUX
DT22-00156	Moustéru	MOUSTERU		22156	MOUSTERU
DT22-00158	Mûr-de-Bretagne	MUR-DE-BRETAGNE		22158	MUR-DE-BRETAGNE
DT22-00160	Noyal	NOYAL		22160	NOYAL
DT22-00161	Pabu	PABU		22161	PABU
DT22-00162	Paimpol	PAIMPOL		22162	PAIMPOL
DT22-00163	Paule	PAULE		22163	PAULE
DT22-00164	Pédernec	PEDERNEC		22164	PEDERNEC
DT22-00165	Penguily	PENGUILY		22165	PENGUILY
DT22-00166	Penvénan	PENVENAN		22166	PENVENAN
DT22-00167	Perret	PERRET		22167	PERRET
DT22-00168	Perros-Guirec	PERROS-GUIREC		22168	PERROS-GUIREC
DT22-00169	Peumerit-Quintin	PEUMERIT-QUINTIN		22169	PEUMERIT-QUINTIN
DT22-00170	Plaine-Haute	PLAINE-HAUTE		22170	PLAINE-HAUTE
DT22-00171	Plaintel	PLAINTEL		22171	PLAINTEL
DT22-00172	Plancoët	PLANCOET		22172	PLANCOET
DT22-00173	Planguenoual	PLANGUENOUAL		22173	PLANGUENOUAL
DT22-00174	Pléboulle	PLEBOULLE		22174	PLEBOULLE
DT22-00175	Plédéliac	PLEDELIAC		22175	PLEDELIAC
DT22-00176	Plédran	PLEDRAN		22176	PLEDRAN
DT22-00177	Pléguien	PLEGUIEN		22177	PLEGUIEN
DT22-00178	Pléhédel	PLEHEDEL		22178	PLEHEDEL
DT22-00179bis	Fréhel	FREHEL		22179	FREHEL
DT22-00180	Plélan-le-Petit	PLELAN-LE-PETIT		22180	PLELAN-LE-PETIT
DT22-00181	Plélauff	PLELAUFF		22181	PLELAUFF
DT22-00182	Plélo	PLELO		22182	PLELO
DT22-00183	Plémet	PLEMET		22183	PLEMET
DT22-00184	Plémy	PLEMY		22184	PLEMY
DT22-00185	Plénée-Jugon	PLENEE-JUGON		22185	PLENEE-JUGON
DT22-00186	Pléneuf-Val-André	PLENEUF-VAL-ANDRE		22186	PLENEUF-VAL-ANDRE
DT22-00187	Plérin	PLERIN		22187	PLERIN
DT22-00188	Plerneuf	PLERNEUF		22188	PLERNEUF
DT22-00189	Plésidy	PLESIDY		22189	PLESIDY
DT22-00190	Pleslin-Trigavou	PLESLIN-TRIGAVOU		22190	PLESLIN-TRIGAVOU
DT22-00191	Plessala	PLESSALA		22191	PLESSALA
DT22-00192	Plessix-Balisson	PLESSIX-BALISSON		22192	PLESSIX-BALISSON
DT22-00193	Plestan	PLESTAN		22193	PLESTAN
DT22-00194	Plestin-les-Grèves	PLESTIN-LES-GREVES		22194	PLESTIN-LES-GREVES
DT22-00195	Pleubian	PLEUBIAN		22195	PLEUBIAN
DT22-00196	Pleudaniel	PLEUDANIEL		22196	PLEUDANIEL
DT22-00197	Pleudihen-sur-Rance	PLEUDIHEN-SUR-RANCE		22197	PLEUDIHEN-SUR-RANCE
DT22-00198	Pleumeur-Bodou	PLEUMEUR-BODOU		22198	PLEUMEUR-BODOU
DT22-00199	Pleumeur-Gautier	PLEUMEUR-GAUTIER		22199	PLEUMEUR-GAUTIER
DT22-00200	Pléven	PLEVEN		22200	PLEVEN
DT22-00201	Plévenon	PLEVENON	commune de Fréhel	22201	PLEVENON
DT22-00202	Plévin	PLEVIN		22202	PLEVIN
DT22-00204	Ploëzal	PLOEZAL		22204	PLOEZAL
DT22-00205	Plorec-sur-Arguenon	PLOREC-SUR-ARGUENON		22205	PLOREC-SUR-ARGUENON
DT22-00206	Plouagat	PLOUAGAT		22206	PLOUAGAT
DT22-00207	Plouaret	PLOUARET		22207	PLOUARET
DT22-00208	Plouasne	PLOUASNE		22208	PLOUASNE
DT22-00209	Ploubalay	PLOUBALAY		22209	PLOUBALAY
DT22-00210	Ploubazlanec	PLOUBAZLANEC		22210	PLOUBAZLANEC
DT22-00211	Ploubezre	PLOUBEZRE		22211	PLOUBEZRE
DT22-00212	Plouëc-du-Trieux	PLOUEC-DU-TRIEUX		22212	PLOUEC-DU-TRIEUX
DT22-00213	Plouër-sur-Rance	PLOUER-SUR-RANCE		22213	PLOUER-SUR-RANCE
DT22-00214	Plouézec	PLOUEZEC		22214	PLOUEZEC
DT22-00215	Ploufragan	PLOUFRAGAN		22215	PLOUFRAGAN
DT22-00216	Plougonver	PLOUGONVER		22216	PLOUGONVER
DT22-00217	Plougras	PLOUGRAS		22217	PLOUGRAS
DT22-00218	Plougrescant	PLOUGRESCANT		22218	PLOUGRESCANT
DT22-00219	Plouguenast	PLOUGUENAST		22219	PLOUGUENAST
DT22-00220	Plouguernével	PLOUGUERNEVEL		22220	PLOUGUERNEVEL
DT22-00221	Plouguiel	PLOUGUIEL		22221	PLOUGUIEL
DT22-00222	Plouha	PLOUHA		22222	PLOUHA
DT22-00223	Plouisy	PLOUISY		22223	PLOUISY
DT22-00224	Ploulec’h	PLOULEC’H		22224	PLOULEC’H
DT22-00225	Ploumagoar	PLOUMAGOAR		22225	PLOUMAGOAR
DT22-00226	Ploumilliau	PLOUMILLIAU		22226	PLOUMILLIAU
DT22-00227	Plounérin	PLOUNERIN		22227	PLOUNERIN
DT22-00228	Plounévez-Moëdec	PLOUNEVEZ-MOEDEC		22228	PLOUNEVEZ-MOEDEC
DT22-00229	Plounévez-Quintin	PLOUNEVEZ-QUINTIN		22229	PLOUNEVEZ-QUINTIN
DT22-00231	Plourac’h	PLOURAC’H		22231	PLOURAC’H
DT22-00232	Plourhan	PLOURHAN		22232	PLOURHAN
DT22-00233	Plourivo	PLOURIVO		22233	PLOURIVO
DT22-00234	Plouvara	PLOUVARA		22234	PLOUVARA
DT22-00235	Plouzélambre	PLOUZELAMBRE		22235	PLOUZELAMBRE
DT22-00236	Pludual	PLUDUAL		22236	PLUDUAL
DT22-00237	Pluduno	PLUDUNO		22237	PLUDUNO
DT22-00238	Plufur	PLUFUR		22238	PLUFUR
DT22-00239	Plumaudan	PLUMAUDAN		22239	PLUMAUDAN
DT22-00240	Plumaugat	PLUMAUGAT		22240	PLUMAUGAT
DT22-00241	Plumieux	PLUMIEUX		22241	PLUMIEUX
DT22-00242	Plurien	PLURIEN		22242	PLURIEN
DT22-00243	Plusquellec	PLUSQUELLEC		22243	PLUSQUELLEC
DT22-00244	Plussulien	PLUSSULIEN		22244	PLUSSULIEN
DT22-00245	Pluzunet	PLUZUNET		22245	PLUZUNET
DT22-00246	Pommeret	POMMERET		22246	POMMERET
DT22-00247	Pommerit-Jaudy	POMMERIT-JAUDY		22247	POMMERIT-JAUDY
DT22-00248	Pommerit-le-Vicomte	POMMERIT-LE-VICOMTE		22248	POMMERIT-LE-VICOMTE
DT22-00249	Pont-Melvez	PONT-MELVEZ		22249	PONT-MELVEZ
DT22-00250	Pontrieux	PONTRIEUX		22250	PONTRIEUX
DT22-00251	Pordic	PORDIC		22251	PORDIC
DT22-00253	Pouldouran	POULDOURAN		22253	POULDOURAN
DT22-00254	Prat	PRAT		22254	PRAT
DT22-00256	Quemper-Guézennec	QUEMPER-GUEZENNEC		22256	QUEMPER-GUEZENNEC
DT22-00257	Quemperven	QUEMPERVEN		22257	QUEMPERVEN
DT22-00258	Quessoy	QUESSOY		22258	QUESSOY
DT22-00259	Quevert	QUEVERT		22259	QUEVERT
DT22-00261	Quintenic	QUINTENIC		22261	QUINTENIC
DT22-00262	Quintin	QUINTIN		22262	QUINTIN
DT22-00265	Rospez	ROSPEZ		22265	ROSPEZ
DT22-00266	Rostrenen	ROSTRENEN		22266	ROSTRENEN
DT22-00267	Rouillac	ROUILLAC		22267	ROUILLAC
DT22-00268	Ruca	RUCA		22268	RUCA
DT22-00269	Runan	RUNAN		22269	RUNAN
DT22-00271	Saint-Adrien	SAINT-ADRIEN		22271	SAINT-ADRIEN
DT22-00272	Saint-Agathon	SAINT-AGATHON		22272	SAINT-AGATHON
DT22-00273	Saint-Alban	SAINT-ALBAN		22273	SAINT-ALBAN
DT22-00274	Saint-André-des-Eaux	SAINT-ANDRE-DES-EAUX		22274	SAINT-ANDRE-DES-EAUX
DT22-00275	Saint-Barnabé	SAINT-BARNABE		22275	SAINT-BARNABE
DT22-00276	Saint-Bihy	SAINT-BIHY		22276	SAINT-BIHY
DT22-00277	Saint-Brandan	SAINT-BRANDAN		22277	SAINT-BRANDAN
DT22-00278	Saint-Brieuc	SAINT-BRIEUC		22278	SAINT-BRIEUC
DT22-00279	Saint-Caradec	SAINT-CARADEC		22279	SAINT-CARADEC
DT22-00280	Saint-Carné	SAINT-CARNE		22280	SAINT-CARNE
DT22-00281	Saint-Carreuc	SAINT-CARREUC		22281	SAINT-CARREUC
DT22-00282	Saint-Cast-Le-Guildo	SAINT-CAST-LE-GUILDO		22282	SAINT-CAST-LE-GUILDO
DT22-00283	Saint-Clet	SAINT-CLET		22283	SAINT-CLET
DT22-00284	Saint-Connan	SAINT-CONNAN		22284	SAINT-CONNAN
DT22-00285	Saint-Connec	SAINT-CONNEC		22285	SAINT-CONNEC
DT22-00286	Saint-Denoual	SAINT-DENOUAL		22286	SAINT-DENOUAL
DT22-00287	Saint-Donan	SAINT-DONAN		22287	SAINT-DONAN
DT22-00288	Saint-Etienne-du-Gué-de-l’Isle	SAINT-ETIENNE-DU-GUE-DE-L’ISLE		22288	SAINT-ETIENNE-DU-GUE-DE-L’ISLE
DT22-00289	Saint-Fiacre	SAINT-FIACRE		22289	SAINT-FIACRE
DT22-00290	Saint-Gelven	SAINT-GELVEN		22290	SAINT-GELVEN
DT22-00291	Saint-Gildas	SAINT-GILDAS		22291	SAINT-GILDAS
DT22-00292	Saint-Gilles-du-Mené	SAINT-GILLES-DU-MENE		22292	SAINT-GILLES-DU-MENE
DT22-00293	Saint-Gilles-les-Bois	SAINT-GILLES-LES-BOIS		22293	SAINT-GILLES-LES-BOIS
DT22-00294	Saint-Gilles-Pligeaux	SAINT-GILLES-PLIGEAUX		22294	SAINT-GILLES-PLIGEAUX
DT22-00295	Saint-Gilles-Vieux-Marché	SAINT-GILLES-VIEUX-MARCHE		22295	SAINT-GILLES-VIEUX-MARCHE
DT22-00296	Saint-Glen	SAINT-GLEN		22296	SAINT-GLEN
DT22-00297	Saint-Gouéno	SAINT-GOUENO		22297	SAINT-GOUENO
DT22-00298	Saint-Guen	SAINT-GUEN		22298	SAINT-GUEN
DT22-00299	Saint-Hélen	SAINT-HELEN		22299	SAINT-HELEN
DT22-00300	Saint-Hervé	SAINT-HERVE		22300	SAINT-HERVE
DT22-00302	Saint-Jacut-de-la-Mer	SAINT-JACUT-DE-LA-MER		22302	SAINT-JACUT-DE-LA-MER
DT22-00303	Saint-Jacut-du-Mené	SAINT-JACUT-DU-MENE		22303	SAINT-JACUT-DU-MENE
DT22-00304	Saint-Jean-Kerdaniel	SAINT-JEAN-KERDANIEL		22304	SAINT-JEAN-KERDANIEL
DT22-00305	Saint-Jouan-de-l’Isle	SAINT-JOUAN-DE-L’ISLE		22305	SAINT-JOUAN-DE-L’ISLE
DT22-00306	Saint-Judoce	SAINT-JUDOCE		22306	SAINT-JUDOCE
DT22-00307	Saint-Julien	SAINT-JULIEN		22307	SAINT-JULIEN
DT22-00308	Saint-Juvat	SAINT-JUVAT		22308	SAINT-JUVAT
DT22-00309	Saint-Launeuc	SAINT-LAUNEUC		22309	SAINT-LAUNEUC
DT22-00310	Saint-Laurent	SAINT-LAURENT		22310	SAINT-LAURENT
DT22-00311	Saint-Lormel	SAINT-LORMEL		22311	SAINT-LORMEL
DT22-00312	Saint-Maden	SAINT-MADEN		22312	SAINT-MADEN
DT22-00313	Saint-Martin-des-Prés	SAINT-MARTIN-DES-PRES		22313	SAINT-MARTIN-DES-PRES
DT22-00314	Saint-Maudan	SAINT-MAUDAN		22314	SAINT-MAUDAN
DT22-00315	Saint-Maudez	SAINT-MAUDEZ		22315	SAINT-MAUDEZ
DT22-00316	Saint-Mayeux	SAINT-MAYEUX		22316	SAINT-MAYEUX
DT22-00318	Saint-Michel-de-Plélan	SAINT-MICHEL-DE-PLELAN		22318	SAINT-MICHEL-DE-PLELAN
DT22-00319	Saint-Michel-en-Grève	SAINT-MICHEL-EN-GREVE		22319	SAINT-MICHEL-EN-GREVE
DT22-00320	Saint-Nicodème	SAINT-NICODEME		22320	SAINT-NICODEME
DT22-00321	Saint-Nicolas-du-Pélem	SAINT-NICOLAS-DU-PELEM		22321	SAINT-NICOLAS-DU-PELEM
DT22-00322	Saint-Péver	SAINT-PEVER		22322	SAINT-PEVER
DT22-00323	Saint-Pôtan	SAINT-POTAN		22323	SAINT-POTAN
DT22-00324	Saint-Quay-Perros	SAINT-QUAY-PERROS		22324	SAINT-QUAY-PERROS
DT22-00325	Saint-Quay-Portrieux	SAINT-QUAY-PORTRIEUX		22325	SAINT-QUAY-PORTRIEUX
DT22-00326	Saint-Rieul	SAINT-RIEUL		22326	SAINT-RIEUL
DT22-00327	Saint-Samson-sur-Rance	SAINT-SAMSON-SUR-RANCE		22327	SAINT-SAMSON-SUR-RANCE
DT22-00328	Saint-Servais	SAINT-SERVAIS		22328	SAINT-SERVAIS
DT22-00330	Saint-Thélo	SAINT-THELO		22330	SAINT-THELO
DT22-00331	Sainte-Tréphine	SAINTE-TREPHINE		22331	SAINTE-TREPHINE
DT22-00332	Saint-Trimoël	SAINT-TRIMOEL		22332	SAINT-TRIMOEL
DT22-00333	Saint-Vran	SAINT-VRAN		22333	SAINT-VRAN
DT22-00334	Saint-Igeaux	SAINT-IGEAUX		22334	SAINT-IGEAUX
DT22-00335	Senven-Léhart	SENVEN-LEHART		22335	SENVEN-LEHART
DT22-00337	Sévignac	SEVIGNAC		22337	SEVIGNAC
DT22-00338	Squiffiec	SQUIFFIEC		22338	SQUIFFIEC
DT22-00339	Taden	TADEN		22339	TADEN
DT22-00340	Tonquédec	TONQUEDEC		22340	TONQUEDEC
DT22-00341	Tramain	TRAMAIN		22341	TRAMAIN
DT22-00342	Trébédan	TREBEDAN		22342	TREBEDAN
DT22-00343	Trébeurden	TREBEURDEN		22343	TREBEURDEN
DT22-00344	Trébrivan	TREBRIVAN		22344	TREBRIVAN
DT22-00345	Trébry	TREBRY		22345	TREBRY
DT22-00346	Trédaniel	TREDANIEL		22346	TREDANIEL
DT22-00347	Trédarzec	TREDARZEC		22347	TREDARZEC
DT22-00348	Trédias	TREDIAS		22348	TREDIAS
DT22-00350	Tréduder	TREDUDER		22350	TREDUDER
DT22-00351	Treffrin	TREFFRIN		22351	TREFFRIN
DT22-00352	Tréfumel	TREFUMEL		22352	TREFUMEL
DT22-00353	Trégastel	TREGASTEL		22353	TREGASTEL
DT22-00354	Tréglamus	TREGLAMUS		22354	TREGLAMUS
DT22-00356	Trégomeur	TREGOMEUR		22356	TREGOMEUR
DT22-00357	Trégon	TREGON		22357	TREGON
DT22-00358	Trégonneau	TREGONNEAU		22358	TREGONNEAU
DT22-00359	Trégrom	TREGROM		22359	TREGROM
DT22-00360	Trégueux	TREGUEUX		22360	TREGUEUX
DT22-00361	Tréguidel	TREGUIDEL		22361	TREGUIDEL
DT22-00362	Tréguier	TREGUIER		22362	TREGUIER
DT22-00363	Trélévern	TRELEVERN		22363	TRELEVERN
DT22-00364	Trélivan	TRELIVAN		22364	TRELIVAN
DT22-00365	Trémargat	TREMARGAT		22365	TREMARGAT
DT22-00366	Trémel	TREMEL		22366	TREMEL
DT22-00367	Tréméloir	TREMELOIR		22367	TREMELOIR
DT22-00368	Tréméreuc	TREMEREUC		22368	TREMEREUC
DT22-00369	Trémeur	TREMEUR		22369	TREMEUR
DT22-00370	Tréméven	TREMEVEN		22370	TREMEVEN
DT22-00371	Trémorel	TREMOREL		22371	TREMOREL
DT22-00372	Trémuson	TREMUSON		22372	TREMUSON
DT22-00373	Tréogan	TREOGAN		22373	TREOGAN
DT22-00375	Tressignaux	TRESSIGNAUX		22375	TRESSIGNAUX
DT22-00376	Trévé	TREVE		22376	TREVE
DT22-00377	Tréveneuc	TREVENEUC		22377	TREVENEUC
DT22-00378	Trévérec	TREVEREC		22378	TREVEREC
DT22-00379	Trévou-Tréguignec	TREVOU-TREGUIGNEC		22379	TREVOU-TREGUIGNEC
DT22-00380	Trévron	TREVRON		22380	TREVRON
DT22-00381	Trézény	TREZENY		22381	TREZENY
DT22-00383	Troguery	TROGUERY		22383	TROGUERY
DT22-00384	Uzel	UZEL		22384	UZEL
DT22-00388	Vildé-Guingalan	VILDE-GUINGALAN		22388	VILDE-GUINGALAN
DT22-00389	Yffiniac	YFFINIAC		22389	YFFINIAC
DT22-00390	Yvias	YVIAS		22390	YVIAS
DT22-00016	Bréhat (Île de)	BREHAT		22016	ILE-DE-BREHAT
DT22-00317	Saint-Méloir	SAINT-MELOIR		22317	SAINT-MELOIR-DES-BOIS
DT22-00349	Trédrez	TREDREZ		22349	TREDREZ-LOCQUEMEAU
DT22-00391	Yvignac	YVIGNAC		22391	YVIGNAC-LA-TOUR
DT22-00009	Le Bodéo	LE BODEO		22009	
DT22-00012	La Bouillie	LA BOUILLIE		22012	
DT22-00027	Le Cambout	LE CAMBOUT		22027	
DT22-00035	Les Champs-Géraux	LES CHAMPS-GERAUX		22035	
DT22-00036	La Chapelle-Blanche	LA CHAPELLE-BLANCHE		22036	
DT22-00037	La Chapelle-Neuve	LA CHAPELLE-NEUVE		22037	
DT22-00039	La Chèze	LA CHEZE		22039	
DT22-00057	Le Faouët	LE FAOUET		22057	
DT22-00058	La Ferrière	LA FERRIERE		22058	
DT22-00059	Le Foeil	LE FOEIL		22059	
DT22-00066	Le Gouray	LE GOURAY		22066	
DT22-00073	La Harmoye	LA HARMOYE		22073	
DT22-00074	Le Haut-Corlay	LE HAUT-CORLAY		22074	
DT22-00082	Le Hinglé	LE HINGLE		22082	
DT22-00097	La Landec	LA LANDEC		22097	
DT22-00126	Le Leslay	LE LESLAY		22126	
DT22-00140	La Malhoure	LA MALHOURE		22140	
DT22-00144	La Méaugon	LA MEAUGON		22144	
DT22-00150	Le Merzer	LE MERZER		22150	
DT22-00155	La Motte	LA MOTTE		22155	
DT22-00157	Le Moustoir	LE MOUSTOIR		22157	
DT22-00255	La Prénessaye	LA PRENESSAYE		22255	
DT22-00260	Le Quillio	LE QUILLIO		22260	
DT22-00263	Le Quiou	LE QUIOU		22263	
DT22-00264	La Roche-Derrien	LA ROCHE-DERRIEN		22264	
DT22-00385	La Vicomté-sur-Rance	LA VICOMTE-SUR-RANCE		22385	
DT22-00386	Le Vieux-Bourg	LE VIEUX-BOURG		22386	
DT22-00387	Le Vieux-Marché	LE VIEUX-MARCHE		22387	
DT22-00080	L’Hermitage-Lorge	L’HERMITAGE-LORGE		22080	HERMITAGE-LORGE
DT22-00203	Plœuc-sur-Lié	PLŒUC-SUR-LIE		22203	PLOEUC-SUR-LIE
